P	S	L	D	Hard1
195	800	20	7.88	325
25	200	50	4.41	399
90	300	50	2.6	407
160	1000	30	7.88	265
280	2500	50	7.84	447
260	2500	50	7.7	543.3
260	2300	50	7.6	619.2
220	2300	50	7.5	701
360	650	20	2.52	170
360	650	20	2.50	172.8
100	100	50	2.54	168
100	143	50	2.54	177
100	200	50	2.47	163
100	400	50	2.40	157
90	100	50	4.54	236.6
90	200	50	4.54	373.2
90	300	50	4.54	396.7
90	400	50	4.54	297.7
110	350	40	8.01	381.6
110	450	40	8.01	393.2
110	550	40	8.01	348.6
110	650	40	8.01	317.5
250	1000	50	4.93	885
250	1000	50	5.4	839
280	800	50	7.85	657.2
280	400	50	7.8	379.6
110	100	50	2.56151	173.8
110	150	50	2.50971	181.2
110	250	50	2.41906	167
110	350	50	2.39575	158.7
80	100	50	3.78	955
80	200	50	4.1904	980.3
80	300	50	4.15152	974
80	400	50	3.98736	906
325	800	50	4.8403	479.2
325	880	50	4.8902	560.8
325	1040	50	4.87523	530.2
325	1200	50	4.82533	469.1
285	960	40	8	355
100	250	50	7.79025	220
100	83.3	50	7.7503	308
100	83.3	50	7.6704	320
100	83.3	50	7.182	600
100	83.3	50	7.1022	611
800	350	50	4.92	683.2
100	280	50	7.8	540
100	400	50	7.8	523.4
100	500	50	7.8	472.3
200	750	20	7.8	400
150	800	30	7.85	55.1
150	800	30	7.79505	53.8
150	800	30	7.7715	57.6
150	800	30	7.71655	45.9
210	500	50	2.515	150
275	500	50		145
320	500	50		188
350	500	50		155
100	55.6	50	7.722	395
100	83	50	7.332	313
100	166.7	50	7.254	396
100	250	50	6.942	400
240	1000	30	4.4	487.8
250	2000	50	8	390
190	2000	50	7.92	475
220	2000	50	7.84	478
250	2000	50	7.8	562
280	2000	50	7.76	534
200	5000	50	7.66	234
95	1350	25	4.43	358
350	1800	50	2.59	118
375	1800	50	2.59	119
425	1800	50	2.59	120
450	1800	50	2.59	126
320	1450	50	2.34	133
