Power	Speed	Height	Hatch	Density	Microhardness
350	1800	50	50	2.59	118.00
375	1800	50	50	2.59	119.00
425	1800	50	50	2.59	120.00
450	1800	50	50	2.59	126.00
320	1450	50	110	2.34	133.00
275	500	50	45	2.41	145.00
210	500	50	60	2.52	150.00
350	500	50	45	2.49	155.00
100	400	50	50	2.40	157.00
110	350	50	50	2.40	158.70
100	200	50	50	2.47	163.00
110	250	50	50	2.42	167.00
100	100	50	50	2.54	168.00
360	650	20	60	2.52	170.00
360	650	20	50	2.50	172.80
110	100	50	50	2.56	173.80
100	143	50	50	2.54	177.00
110	150	50	50	2.51	181.20
320	500	50	45	2.46	188.00
100	250	50	120	7.79	220.00
90	100	50	60	4.54	236.60
160	1000	30	100	7.88	265.00
90	400	50	60	4.54	297.70
100	83	50	120	7.75	308.00
100	83	50	120	7.33	313.00
110	650	40	50	8.01	317.50
100	83	50	120	7.67	320.00
195	800	20	100	7.88	325.00
110	550	40	50	8.01	348.60
285	960	40	60	8.00	355.00
95	1350	25	60	4.43	358.00
90	200	50	60	4.54	373.20
280	400	50	120	7.80	379.60
110	350	40	50	8.01	381.60
250	2000	50	60	8.00	390.00
110	450	40	50	8.01	393.20
100	56	50	100	7.72	395.00
100	167	50	120	7.25	396.00
90	300	50	60	4.54	396.70
100	250	50	120	6.94	400.00
200	750	20	100	7.80	400.00
90	300	50	60	2.60	407.00
280	2500	50	40	7.84	447.00
150	800	30	80	7.72	450.00
325	1200	50	60	4.83	469.10
100	500	50	80	7.80	472.30
190	2000	50	110	7.92	475.00
220	2000	50	60	7.84	478.00
325	800	50	60	4.84	479.20
240	1000	30	60	4.40	487.80
100	400	50	80	7.80	523.40
325	1040	50	60	4.88	530.20
280	2000	50	60	7.76	534.00
100	280	50	80	7.80	540.00
260	2500	50	40	7.70	543.30
325	880	50	60	4.89	560.80
250	2000	50	60	7.80	562.00
150	800	30	80	7.80	580.00
100	83	50	120	7.18	600.00
100	83	50	120	7.10	611.00
260	2300	50	40	7.60	619.20
150	800	30	80	7.85	620.00
280	800	50	120	7.85	657.20
150	800	30	80	7.77	680.00
500	350	50	60	4.92	683.20
220	2300	50	40	7.50	701.00
250	1000	50	50	5.40	839.00
250	1000	50	50	4.93	885.00
80	400	50	50	3.99	906.00
80	100	50	50	3.78	955.00
80	300	50	50	4.15	974.00
80	200	50	50	4.19	980.30
