P	S	L	D	HV
350.00	1800.00	50.00	2.59	118.00
375.00	1800.00	50.00	2.59	119.00
425.00	1800.00	50.00	2.59	120.00
450.00	1800.00	50.00	2.59	126.00
320.00	1450.00	50.00	2.34	133.00
275.00	500.00	50.00	2.41	145.00
210.00	500.00	50.00	2.52	150.00
350.00	500.00	50.00	2.49	155.00
100.00	400.00	50.00	2.40	157.00
110.00	350.00	50.00	2.40	158.70
100.00	200.00	50.00	2.47	163.00
110.00	250.00	50.00	2.42	167.00
100.00	100.00	50.00	2.54	168.00
360.00	650.00	20.00	2.52	170.00
360.00	650.00	20.00	2.50	172.80
110.00	100.00	50.00	2.56	173.80
100.00	143.00	50.00	2.54	177.00
110.00	150.00	50.00	2.51	181.20
320.00	500.00	50.00	2.46	188.00
100.00	250.00	50.00	7.79	220.00
200.00	5000.00	50.00	7.66	234.00
90.00	100.00	50.00	4.54	236.60
160.00	1000.00	30.00	7.88	265.00
90.00	400.00	50.00	4.54	297.70
100.00	83.30	50.00	7.75	308.00
100.00	83.00	50.00	7.33	313.00
110.00	650.00	40.00	8.01	317.50
100.00	83.30	50.00	7.67	320.00
195.00	800.00	20.00	7.88	325.00
110.00	550.00	40.00	8.01	348.60
285.00	960.00	40.00	8.00	355.00
95.00	1350.00	25.00	4.43	358.00
90.00	200.00	50.00	4.54	373.20
280.00	400.00	50.00	7.80	379.60
110.00	350.00	40.00	8.01	381.60
250.00	2000.00	50.00	8.00	390.00
110.00	450.00	40.00	8.01	393.20
100.00	55.60	50.00	7.72	395.00
100.00	166.70	50.00	7.25	396.00
90.00	300.00	50.00	4.54	396.70
100.00	250.00	50.00	6.94	400.00
200.00	750.00	20.00	7.80	400.00
90.00	300.00	50.00	2.60	407.00
280.00	2500.00	50.00	7.84	447.00
150.00	800.00	30.00	7.72	450.00
325.00	1200.00	50.00	4.83	469.10
100.00	500.00	50.00	7.80	472.30
190.00	2000.00	50.00	7.92	475.00
220.00	2000.00	50.00	7.84	478.00
325.00	800.00	50.00	4.84	479.20
240.00	1000.00	30.00	4.40	487.80
100.00	400.00	50.00	7.80	523.40
325.00	1040.00	50.00	4.88	530.20
280.00	2000.00	50.00	7.76	534.00
100.00	280.00	50.00	7.80	540.00
260.00	2500.00	50.00	7.70	543.30
325.00	880.00	50.00	4.89	560.80
250.00	2000.00	50.00	7.80	562.00
150.00	800.00	30.00	7.80	580.00
100.00	83.30	50.00	7.18	600.00
100.00	83.30	50.00	7.10	611.00
260.00	2300.00	50.00	7.60	619.20
150.00	800.00	30.00	7.85	620.00
280.00	800.00	50.00	7.85	657.20
150.00	800.00	30.00	7.77	680.00
500.00	350.00	50.00	4.92	683.20
220.00	2300.00	50.00	7.50	701.00
250.00	1000.00	50.00	5.40	839.00
250.00	1000.00	50.00	4.93	885.00
80.00	400.00	50.00	3.99	906.00
80.00	100.00	50.00	3.78	955.00
80.00	300.00	50.00	4.15	974.00
80.00	200.00	50.00	4.19	980.30
