LP	SS	LT	RD	HBM	HCB	F	D	w	K
195	800	50	7.88	325	1650	5	113	4.600	14.661
25	200	50	4.41	399	820	50	592.5	1.900	7.435
90	300	50	4.5	407	746	3	105.5	0.028	0.112
100	100	50	2.54	168	746	3	105.5575132	0.583	0.961
100	143	50	2.54	177	746	3	105.5575132	0.276	0.479
100	200	50	2.47	163	746	3	105.5575132	0.589	0.942
100	400	50	2.40	157	746	3	105.5575132	0.746	1.149
90	100	50	4.54	236.6	746	3	211.1150263	11.900	27.612
90	200	50	4.54	373.2	746	3	211.1150263	8.820	32.281
90	300	50	4.54	396.7	746	3	211.1150263	8.430	32.796
90	400	50	4.54	297.7	746	3	211.1150263	10.800	31.531
110	350	40	8.01	381.6	746	6	105.5575132	2.900	10.853
110	450	40	8.01	393.2	746	6	105.5575132	2.500	9.640
110	550	40	8.01	348.6	746	6	105.5575132	3.400	11.624
110	650	40	8.01	317.5	746	6	105.5575132	4.100	12.766
250	1000	50	4.54	885	746	8	188.4955592	0.840	7.291
250	1000	50	4.54	839	746	8	188.4955592	1.460	12.013
280	800	50	7.85	657.2	1600	50	226.1946711	0.369	2.378
280	400	50	7.85	379.6	1600	50	226.1946711	1.446	5.383
110	100	50	2.59	173.8	746	3	105.5575132	0.470	0.801
110	150	50	2.59	181.2	746	3	105.5575132	0.294	0.522
110	250	50	2.59	167	746	3	105.5575132	0.542	0.888
110	350	50	2.59	158.7	746	3	105.5575132	0.763	1.188
80	100	50	4.32	955	746	3	70.37167544	2.650	24.819
80	200	50	4.32	980.3	746	3	70.37167544	1.420	13.652
80	300	50	4.32	974	746	3	70.37167544	1.757	16.783
80	400	50	4.32	906	746	3	70.37167544	2.240	19.903
325	800	30	4.99	479.20	1600	5	211.1150263	9.620	45.209
325	880	30	4.99	560.80	1600	5	211.1150263	3.380	18.589
325	1040	30	4.99	530.20	1600	5	211.1150263	6.600	34.318
325	1200	30	4.99	469.10	1600	5	211.1150263	10.500	48.305
285	960	40	8	355	2800	5	200	0.760	2.646
100	250	50	7.98	220	840	3	211.1150263	9.865	21.284
100	83.3	50	7.98	308	840	3	211.1150263	6.276	18.957
100	83.3	50	7.98	320	840	3	211.1150263	4.489	14.088
100	83.3	50	7.98	600	840	3	211.1150263	0.744	4.378
100	83.3	50	7.98	611	840	3	211.1150263	0.046	0.276
800	350	50	4.92	683.2	1550	5	100	1.510	10.117
100	280	50	7.8	540	1600	5	216.0159109	0.176	0.930
100	400	50	7.8	523.4	1600	5	216.0159109	0.183	0.941
100	500	50	7.8	472.3	1600	5	216.0159109	0.091	0.419
200	750	20	7.8	400	1610	10	200	0.450	1.765
150	800	30	7.85	620.00	2800	49	200	0.232	1.411
150	800	30	7.85	580.00	2800	49	200	0.260	1.479
150	800	30	7.85	680.00	2800	49	200	0.205	1.367
150	800	30	7.85	450.00	2800	49	200	0.155	0.684
210	500	50	2.515	150	1602	5	125.6637061	7.800	11.474
275	501	50	2.515	145	1602	5	125.6637061	8.000	11.376
320	502	50	2.515	188	1602	5	125.6637061	8.300	15.303
350	503	50	2.515	155	1602	5	125.6637061	5.500	8.360
100	55.6	50	7.722	395	746	3	140.7433509	2.610	10.111
100	83	50	7.332	313	746	3	140.7433509	1.900	5.832
100	166.7	50	7.254	396	746	3	140.7433509	1.300	5.049
100	250	50	6.942	400	746	3	140.7433509	1.480	5.806
240	1000	30	4.41	487.8	600	5	120	2.039	9.752
240	1000	30	4.41	487.8	600	10	120	1.680	8.037
240	1000	30	4.41	487.8	600	15	120	1.221	5.841
250	2000	40	8	390	1927	4.9	100	4.720	18.053
190	2000	40	8	475	1927	4.9	100	0.017	0.077
220	2000	40	8	478	1927	4.9	100	0.003	0.014
250	2000	40	8	562	1927	4.9	100	0.211	1.162
280	2000	40	8	534	1927	4.9	100	0.423	2.214
